BaseX,BaseY,BaseZ,Joint1X,Joint1Y,Joint1Z,Joint2X,Joint2Y,Joint2Z,FootX,FootY,FootZ
0,0,0,0.25,0,0,0.71376,0,0.186887,0.6,0,-0.3
0,0,0,0.208085,-0.138567,0,0.5897,-0.392691,0.199475,0.570634,-0.379994,-0.3
0,0,0,0.159133,-0.192813,0,0.451607,-0.547188,0.197172,0.48541,-0.588145,-0.3
0,0,0,0.138437,-0.208171,0,0.393495,-0.591709,0.194535,0.352671,-0.530321,-0.3
0,0,0,0.155801,-0.195515,0,0.463831,-0.582064,-0.0754833,0.18541,-0.232672,-0.3
0,0,0,-4.07302e-08,0.25,0,-1.09063e-07,0.669423,-0.272185,-2.77286e-08,0.170197,-0.3
0,0,0,-0.0875213,0.234179,0,-0.25325,0.677619,0.160921,-0.18541,0.496099,-0.3
0,0,0,-0.127052,0.215308,0,-0.359989,0.610053,0.199793,-0.352671,0.597652,-0.3
0,0,0,-0.187339,0.165542,0,-0.531992,0.470092,0.196121,-0.48541,0.428931,-0.3
0,0,0,-0.248333,0.0288251,0,-0.711953,0.0826396,0.179333,-0.570634,0.066236,-0.3
0,0,0,-0.219606,-0.11947,0,-0.6224,-0.338598,0.199349,-0.6,-0.326412,-0.3
0,0,0,-0.176651,-0.176903,0,-0.503213,-0.503932,0.190811,-0.570634,-0.571449,-0.3
0,0,0,-0.164072,-0.188628,0,-0.465094,-0.534704,0.199041,-0.48541,-0.558061,-0.3
0,0,0,-0.192481,-0.159534,0,-0.567073,-0.470005,0.115276,-0.352671,-0.292303,-0.3
0,0,0,-0.217215,0.123764,0,-0.61238,0.348918,-0.207728,-0.18541,0.105642,-0.3
0,0,0,-1.09278e-08,0.25,0,-3.22133e-08,0.736954,0.113473,-1.99242e-08,0.455813,-0.3
0,0,0,0.073827,0.238851,0,0.210038,0.679531,0.192996,0.18541,0.599853,-0.3
0,0,0,0.149512,0.200365,0,0.427534,0.57295,0.184077,0.352671,0.472624,-0.3
0,0,0,0.241282,0.0654452,0,0.702681,0.190595,0.146453,0.48541,0.131662,-0.3
0,0,0,0.226158,-0.106549,0,0.643221,-0.303039,0.19352,0.570634,-0.268841,-0.3
